epoch,loss,mae,val_loss,val_mae
0,0.7960172295570374,0.7960172295570374,0.8120243549346924,0.8120243549346924
1,0.7238742113113403,0.7238742113113403,0.5538855791091919,0.5538855791091919
2,0.4475110173225403,0.4475110173225403,0.42645156383514404,0.42645156383514404
3,0.40280425548553467,0.40280425548553467,0.40362992882728577,0.40362992882728577
4,0.379095196723938,0.379095196723938,0.3710678219795227,0.3710678219795227
5,0.35588568449020386,0.35588568449020386,0.3606549799442291,0.3606549799442291
6,0.3408418595790863,0.3408418595790863,0.34671080112457275,0.34671080112457275
7,0.33652737736701965,0.33652737736701965,0.3355577886104584,0.3355577886104584
8,0.3304053843021393,0.3304053843021393,0.3230017125606537,0.3230017125606537
9,0.32029151916503906,0.32029151916503906,0.3214196264743805,0.3214196264743805
10,0.3125219941139221,0.3125219941139221,0.31751030683517456,0.31751030683517456
11,0.3092363774776459,0.3092363774776459,0.314429372549057,0.314429372549057
12,0.3050484359264374,0.3050484359264374,0.37572550773620605,0.37572550773620605
13,0.30700767040252686,0.30700767040252686,0.31333357095718384,0.31333357095718384
14,0.3049217760562897,0.3049217760562897,0.2993888854980469,0.2993888854980469
15,0.2956277132034302,0.2956277132034302,0.2940612733364105,0.2940612733364105
16,0.29308414459228516,0.29308414459228516,0.2949007451534271,0.2949007451534271
17,0.2924082577228546,0.2924082577228546,0.3068828284740448,0.3068828284740448
18,0.2892321050167084,0.2892321050167084,0.29853981733322144,0.29853981733322144
19,0.28918778896331787,0.28918778896331787,0.29059886932373047,0.29059886932373047
20,0.2892324924468994,0.2892324924468994,0.3055467903614044,0.3055467903614044
21,0.2867283523082733,0.2867283523082733,0.3145454525947571,0.3145454525947571
22,0.2855190932750702,0.2855190932750702,0.3001112937927246,0.3001112937927246
23,0.27903279662132263,0.27903279662132263,0.28409555554389954,0.28409555554389954
24,0.27436643838882446,0.27436643838882446,0.2887124717235565,0.2887124717235565
25,0.2735585570335388,0.2735585570335388,0.2833805978298187,0.2833805978298187
26,0.276531845331192,0.276531845331192,0.28649988770484924,0.28649988770484924
27,0.2791069746017456,0.2791069746017456,0.28958454728126526,0.28958454728126526
28,0.274584025144577,0.274584025144577,0.2997048795223236,0.2997048795223236
29,0.2710529863834381,0.2710529863834381,0.2911587655544281,0.2911587655544281
30,0.2632184624671936,0.2632184624671936,0.284565806388855,0.284565806388855
31,0.26625490188598633,0.26625490188598633,0.27135413885116577,0.27135413885116577
32,0.2616406977176666,0.2616406977176666,0.2752377688884735,0.2752377688884735
33,0.261892706155777,0.261892706155777,0.2720761299133301,0.2720761299133301
34,0.2593666911125183,0.2593666911125183,0.2626304030418396,0.2626304030418396
35,0.2556682229042053,0.2556682229042053,0.26954713463783264,0.26954713463783264
36,0.2564394176006317,0.2564394176006317,0.2694932520389557,0.2694932520389557
37,0.2520804703235626,0.2520804703235626,0.25987914204597473,0.25987914204597473
38,0.2512568235397339,0.2512568235397339,0.25854772329330444,0.25854772329330444
39,0.24558602273464203,0.24558602273464203,0.2442345768213272,0.2442345768213272
40,0.24086689949035645,0.24086689949035645,0.254655122756958,0.254655122756958
41,0.2408667951822281,0.2408667951822281,0.2608776092529297,0.2608776092529297
42,0.24273620545864105,0.24273620545864105,0.2633405029773712,0.2633405029773712
43,0.24119719862937927,0.24119719862937927,0.2411394566297531,0.2411394566297531
44,0.23384548723697662,0.23384548723697662,0.24872492253780365,0.24872492253780365
45,0.23359492421150208,0.23359492421150208,0.23949973285198212,0.23949973285198212
46,0.2272009402513504,0.2272009402513504,0.2361651211977005,0.2361651211977005
47,0.22925564646720886,0.22925564646720886,0.24161280691623688,0.24161280691623688
48,0.2252109944820404,0.2252109944820404,0.24422687292099,0.24422687292099
49,0.2239876389503479,0.2239876389503479,0.2648206353187561,0.2648206353187561
50,0.220058873295784,0.220058873295784,0.23757745325565338,0.23757745325565338
51,0.21575020253658295,0.21575020253658295,0.23956294357776642,0.23956294357776642
52,0.21555010974407196,0.21555010974407196,0.24812330305576324,0.24812330305576324
53,0.2140863686800003,0.2140863686800003,0.24627076089382172,0.24627076089382172
54,0.21403425931930542,0.21403425931930542,0.23120422661304474,0.23120422661304474
55,0.21096599102020264,0.21096599102020264,0.2434558868408203,0.2434558868408203
56,0.20616120100021362,0.20616120100021362,0.22342447936534882,0.22342447936534882
57,0.20962725579738617,0.20962725579738617,0.22722168266773224,0.22722168266773224
58,0.2052997201681137,0.2052997201681137,0.22380194067955017,0.22380194067955017
59,0.2009146511554718,0.2009146511554718,0.2258378565311432,0.2258378565311432
60,0.1989036649465561,0.1989036649465561,0.23079675436019897,0.23079675436019897
61,0.19984614849090576,0.19984614849090576,0.2257542908191681,0.2257542908191681
62,0.19790351390838623,0.19790351390838623,0.22144627571105957,0.22144627571105957
63,0.1914753019809723,0.1914753019809723,0.23026467859745026,0.23026467859745026
64,0.19192667305469513,0.19192667305469513,0.23250219225883484,0.23250219225883484
65,0.1901073157787323,0.1901073157787323,0.22332748770713806,0.22332748770713806
66,0.1896773874759674,0.1896773874759674,0.23566529154777527,0.23566529154777527
67,0.18510544300079346,0.18510544300079346,0.23247914016246796,0.23247914016246796
68,0.1869622766971588,0.1869622766971588,0.2243012636899948,0.2243012636899948
69,0.1834014356136322,0.1834014356136322,0.2290436178445816,0.2290436178445816
70,0.18721307814121246,0.18721307814121246,0.2268737405538559,0.2268737405538559
71,0.18295451998710632,0.18295451998710632,0.22548657655715942,0.22548657655715942
72,0.17667314410209656,0.17667314410209656,0.22189302742481232,0.22189302742481232
73,0.17935362458229065,0.17935362458229065,0.22520919144153595,0.22520919144153595
74,0.1748332679271698,0.1748332679271698,0.21685321629047394,0.21685321629047394
75,0.1710778921842575,0.1710778921842575,0.2177886664867401,0.2177886664867401
76,0.172935351729393,0.172935351729393,0.21780267357826233,0.21780267357826233
77,0.17070510983467102,0.17070510983467102,0.22688589990139008,0.22688589990139008
78,0.1707598865032196,0.1707598865032196,0.21893182396888733,0.21893182396888733
79,0.1695600152015686,0.1695600152015686,0.21774743497371674,0.21774743497371674
80,0.16167694330215454,0.16167694330215454,0.20930494368076324,0.20930494368076324
81,0.16736972332000732,0.16736972332000732,0.21840576827526093,0.21840576827526093
82,0.16536244750022888,0.16536244750022888,0.21471640467643738,0.21471640467643738
83,0.16266505420207977,0.16266505420207977,0.22188228368759155,0.22188228368759155
84,0.16072319447994232,0.16072319447994232,0.22029991447925568,0.22029991447925568
85,0.1605311930179596,0.1605311930179596,0.2185402512550354,0.2185402512550354
86,0.16042064130306244,0.16042064130306244,0.20773422718048096,0.20773422718048096
87,0.15468983352184296,0.15468983352184296,0.22096498310565948,0.22096498310565948
88,0.15346533060073853,0.15346533060073853,0.21773484349250793,0.21773484349250793
89,0.15352118015289307,0.15352118015289307,0.22045518457889557,0.22045518457889557
90,0.1524888277053833,0.1524888277053833,0.23476947844028473,0.23476947844028473
91,0.15163667500019073,0.15163667500019073,0.21593958139419556,0.21593958139419556
92,0.14980195462703705,0.14980195462703705,0.22124537825584412,0.22124537825584412
93,0.14922694861888885,0.14922694861888885,0.2134716957807541,0.2134716957807541
94,0.14702175557613373,0.14702175557613373,0.22322528064250946,0.22322528064250946
95,0.14634515345096588,0.14634515345096588,0.21777336299419403,0.21777336299419403
96,0.15044616162776947,0.15044616162776947,0.2134820967912674,0.2134820967912674
97,0.1465785652399063,0.1465785652399063,0.21729569137096405,0.21729569137096405
98,0.14331918954849243,0.14331918954849243,0.21683269739151,0.21683269739151
99,0.14245977997779846,0.14245977997779846,0.20760975778102875,0.20760975778102875
100,0.14143401384353638,0.14143401384353638,0.22455212473869324,0.22455212473869324
101,0.14104655385017395,0.14104655385017395,0.2192552089691162,0.2192552089691162
102,0.1402062624692917,0.1402062624692917,0.21302862465381622,0.21302862465381622
